date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:57	67476/67476	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-10794%22	http://shifthtml.themerex.net/images_post/bigstock-Happy-Black-Woman-12039302-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Happy-Black-Woman-12039302-504x348.jpg	(from http://shifthtml.themerex.net/)
18:59:57	35337/35337	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d2-8a09%22	http://shifthtml.themerex.net/images_post/bigstock-Beautiful-stylish-young-woman-38849389-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Beautiful-stylish-young-woman-38849389-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:03	30709/30709	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-77f5%22	http://shifthtml.themerex.net/images_post/bigstock-Female-tennis-player-7140367-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Female-tennis-player-7140367-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:03	78885/78885	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-13425%22	http://shifthtml.themerex.net/images_post/bigstock-Close-up-image-of-an-office-wo-41874253-1024x682.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Close-up-image-of-an-office-wo-41874253-1024x682.jpg	(from http://shifthtml.themerex.net/)
19:00:10	170482/170482	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-299f2%22	http://shifthtml.themerex.net/images_post/bigstock-Laying-retriever-44861077.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Laying-retriever-44861077.jpg	(from http://shifthtml.themerex.net/)
19:00:10	31599/31599	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-7b6f%22	http://shifthtml.themerex.net/images_post/bigstock-Close-up-image-of-an-office-wo-41874253-1024x682-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Close-up-image-of-an-office-wo-41874253-1024x682-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:16	34921/34921	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-8869%22	http://shifthtml.themerex.net/images_post/bigstock-Freedom-happy-free-couple-in-31838090-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Freedom-happy-free-couple-in-31838090-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:16	102705/102705	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-19131%22	http://shifthtml.themerex.net/images_post/bigstock-christmas-girl-young-beautifu-38594893.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-christmas-girl-young-beautifu-38594893.jpg	(from http://shifthtml.themerex.net/)
19:00:20	191044/191044	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-2ea44%22	http://shifthtml.themerex.net/images_post/bigstock-Female-tennis-player-7140367.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Female-tennis-player-7140367.jpg	(from http://shifthtml.themerex.net/)
19:00:21	33254/33254	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-81e6%22	http://shifthtml.themerex.net/images_post/bigstock-christmas-girl-young-beautifu-38594893-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-christmas-girl-young-beautifu-38594893-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:22	93659/93659	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-16ddb%22	http://shifthtml.themerex.net/js/jquery.min.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.min.js	(from http://shifthtml.themerex.net/)
19:00:22	15424/15424	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-3c40%22	http://shifthtml.themerex.net/js/jquery.tools.custom.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.tools.custom.js	(from http://shifthtml.themerex.net/)
19:00:22	342170/342170	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d2-5389a%22	http://shifthtml.themerex.net/images_post/bigstock-art-exhibition-28071347d.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-art-exhibition-28071347d.jpg	(from http://shifthtml.themerex.net/)
19:00:22	73444/73444	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d2-11ee4%22	http://shifthtml.themerex.net/images_post/bigstock-art-exhibition-28071347d-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-art-exhibition-28071347d-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:22	126875/126875	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-1ef9b%22	http://shifthtml.themerex.net/images_post/bigstock-Freedom-happy-free-couple-in-31838090.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Freedom-happy-free-couple-in-31838090.jpg	(from http://shifthtml.themerex.net/)
19:00:23	92521/92521	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-16969%22	http://shifthtml.themerex.net/images_post/bigstock-sensual-elegant-young-woman-in-34273394.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-sensual-elegant-young-woman-in-34273394.jpg	(from http://shifthtml.themerex.net/)
19:00:23	41162/41162	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-a0ca%22	http://shifthtml.themerex.net/images_post/bigstock-sensual-elegant-young-woman-in-34273394-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-sensual-elegant-young-woman-in-34273394-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:23	186685/186685	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d6-2d93d%22	http://shifthtml.themerex.net/images_post/bigstock-Sexy-woman-wearing-red-dress-36516409.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Sexy-woman-wearing-red-dress-36516409.jpg	(from http://shifthtml.themerex.net/)
19:00:23	16962/16962	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-4242%22	http://shifthtml.themerex.net/js/jquery.flexslider.min.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.flexslider.min.js	(from http://shifthtml.themerex.net/)
19:00:24	2413/2413	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-96d%22	http://shifthtml.themerex.net/js/jquery.cookie.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.cookie.js	(from http://shifthtml.themerex.net/)
19:00:24	22068/22068	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-5634%22	http://shifthtml.themerex.net/js/jquery.prettyPhoto.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.prettyPhoto.js	(from http://shifthtml.themerex.net/)
19:00:24	16045/16045	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-3ead%22	http://shifthtml.themerex.net/js/jquery.isotope.min.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.isotope.min.js	(from http://shifthtml.themerex.net/)
19:00:25	42505/42505	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-a609%22	http://shifthtml.themerex.net/images_post/bigstock-Sexy-woman-wearing-red-dress-36516409-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Sexy-woman-wearing-red-dress-36516409-504x348.jpg	(from http://shifthtml.themerex.net/)
19:00:25	59871/59871	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-e9df%22	http://shifthtml.themerex.net/images_post/bigstock-Big-green-alarm-clock-on-dark-44881654.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Big-green-alarm-clock-on-dark-44881654.jpg	(from http://shifthtml.themerex.net/)
19:00:25	1715/1715	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-6b3%22	http://shifthtml.themerex.net/js/googlemap_init.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/googlemap_init.js	(from http://shifthtml.themerex.net/)
19:00:26	268269/268269	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-417ed%22	http://shifthtml.themerex.net/images_post/bigstock-Happy-Black-Woman-12039302.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Happy-Black-Woman-12039302.jpg	(from http://shifthtml.themerex.net/)
19:00:26	20623/20623	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d8-508f%22	http://shifthtml.themerex.net/js/jquery.qrcode-0.6.0.min.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.qrcode-0.6.0.min.js	(from http://shifthtml.themerex.net/)
19:00:26	4788/4788	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-12b4%22	http://shifthtml.themerex.net/js/jquery.easing.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.easing.js	(from http://shifthtml.themerex.net/)
